,Country Name
0,Afghanistan
1,Albania
2,Algeria
3,American Samoa
4,Andorra
5,Angola
6,Antigua and Barbuda
7,Arab World
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Austria
13,Azerbaijan
14,"Bahamas, The"
15,Bahrain
16,Bangladesh
17,Barbados
18,Belarus
19,Belgium
20,Belize
21,Benin
22,Bermuda
23,Bhutan
24,Bolivia
25,Bosnia and Herzegovina
26,Botswana
27,Brazil
28,British Virgin Islands
29,Brunei Darussalam
30,Bulgaria
31,Burkina Faso
32,Burundi
33,Cabo Verde
34,Cambodia
35,Cameroon
36,Canada
37,Caribbean small states
38,Cayman Islands
39,Central African Republic
40,Central Europe and the Baltics
41,Chad
42,Channel Islands
43,Chile
44,China
45,Colombia
46,Comoros
47,"Congo, Dem. Rep."
48,"Congo, Rep."
49,Costa Rica
50,Cote d'Ivoire
51,Croatia
52,Cuba
53,Curacao
54,Cyprus
55,Czech Republic
56,Denmark
57,Djibouti
58,Dominica
59,Dominican Republic
60,Early-demographic dividend
61,East Asia & Pacific
62,East Asia & Pacific (excluding high income)
63,East Asia & Pacific (IDA & IBRD countries)
64,Ecuador
65,"Egypt, Arab Rep."
66,El Salvador
67,Equatorial Guinea
68,Eritrea
69,Estonia
70,Eswatini
71,Ethiopia
72,Euro area
73,Europe & Central Asia
74,Europe & Central Asia (excluding high income)
75,Europe & Central Asia (IDA & IBRD countries)
76,European Union
77,Faroe Islands
78,Fiji
79,Finland
80,Fragile and conflict affected situations
81,France
82,French Polynesia
83,Gabon
84,"Gambia, The"
85,Georgia
86,Germany
87,Ghana
88,Gibraltar
89,Global Partnership for Education
90,Greece
91,Greenland
92,Grenada
93,Guam
94,Guatemala
95,Guinea
96,Guinea-Bissau
97,Guyana
98,Haiti
99,Heavily indebted poor countries (HIPC)
100,High income
101,Honduras
102,"Hong Kong SAR, China"
103,Hungary
104,IBRD only
105,Iceland
106,IDA & IBRD total
107,IDA blend
108,IDA only
109,IDA total
110,India
111,Indonesia
112,"Iran, Islamic Rep."
113,Iraq
114,Ireland
115,Isle of Man
116,Israel
117,Italy
118,Jamaica
119,Japan
120,Jordan
121,Kazakhstan
122,Kenya
123,Kiribati
124,"Korea, Dem. People’s Rep."
125,"Korea, Rep."
126,Kosovo
127,Kuwait
128,Kyrgyz Republic
129,Lao PDR
130,Late-demographic dividend
131,Latin America & Caribbean
132,Latin America & Caribbean (excluding high income)
133,Latin America & the Caribbean (IDA & IBRD countries)
134,Latvia
135,Least developed countries: UN classification
136,Lebanon
137,Lending category not classified
138,Lesotho
139,Liberia
140,Libya
141,Liechtenstein
142,Lithuania
143,Low & middle income
144,Low income
145,Lower middle income
146,Luxembourg
147,"Macao SAR, China"
148,Madagascar
149,Malawi
150,Malaysia
151,Maldives
152,Mali
153,Malta
154,Marshall Islands
155,Mauritania
156,Mauritius
157,Mayotte
158,Mexico
159,"Micronesia, Fed. Sts."
160,Middle East & North Africa
161,Middle East & North Africa (excluding high income)
162,Middle East & North Africa (IDA & IBRD countries)
163,Middle income
164,Moldova
165,Monaco
166,Mongolia
167,Montenegro
168,Morocco
169,Mozambique
170,Myanmar
171,Namibia
172,Nauru
173,Nepal
174,Netherlands
175,Netherlands Antilles
176,New Caledonia
177,New Zealand
178,Nicaragua
179,Niger
180,Nigeria
181,North America
182,North Macedonia
183,Northern Mariana Islands
184,Norway
185,OECD members
186,Oman
187,Other small states
188,Pacific island small states
189,Pakistan
190,Palau
191,Panama
192,Papua New Guinea
193,Paraguay
194,Peru
195,Philippines
196,Poland
197,Portugal
198,Post-demographic dividend
199,Pre-demographic dividend
200,Puerto Rico
201,Qatar
202,Romania
203,Russian Federation
204,Rwanda
205,Samoa
206,San Marino
207,Sao Tome and Principe
208,Saudi Arabia
209,Senegal
210,Serbia
211,Seychelles
212,Sierra Leone
213,Singapore
214,Sint Maarten (Dutch part)
215,Slovak Republic
216,Slovenia
217,Small states
218,Solomon Islands
219,Somalia
220,South Africa
221,South Asia
222,South Asia (IDA & IBRD)
223,South Sudan
224,Spain
225,Sri Lanka
226,St. Kitts and Nevis
227,St. Lucia
228,St. Martin (French part)
229,St. Vincent and the Grenadines
230,Sub-Saharan Africa
231,Sub-Saharan Africa (excluding high income)
232,Sub-Saharan Africa (IDA & IBRD countries)
233,Sudan
234,Suriname
235,Sweden
236,Switzerland
237,Syrian Arab Republic
238,Tajikistan
239,Tanzania
240,Thailand
241,Timor-Leste
242,Togo
243,Tokelau
244,Tonga
245,Trinidad and Tobago
246,Tunisia
247,Turkey
248,Turkmenistan
249,Turks and Caicos Islands
250,Tuvalu
251,Uganda
252,Ukraine
253,United Arab Emirates
254,United Kingdom
255,United States
256,Upper middle income
257,Uruguay
258,Uzbekistan
259,Vanuatu
260,"Venezuela, RB"
261,Vietnam
262,Virgin Islands (U.S.)
263,West Bank and Gaza
264,World
265,"Yemen, Rep."
266,Zambia
267,Zimbabwe
